DCCN0060000,CD  6 G/M
IHR2065200E,RIOGEL 2 65x200 JUMBO EXPORTACION
IHR2065535E,RIOGEL 2 65x535 EXPORTACION
IHR2065535I,RIOGEL 2 65x535 ITALIA
IHR20652000,RIOGEL SISMICO DE 65X200 R.MULT.
IHR20654000,RIOGEL 2 65 X 400
IHR20655350,RIOGEL 2 DE 65 X 535
IHR2070500E,RIOGEL 2 70x500 EXPORTACION
IHR2070540E,RIOGEL 2 70x540 EXPORTACION
IHR2070540F,RIOGEL 2 70x540 FRANCIA
IHR20702000,RIOGEL 2  70X200 MM
IHR20705400,RIOGEL 2 DE 70 X 540
IHR20754150,RIOGEL 2 75X415 MM.
IHR20755000,RIOGEL 2 DE 75X500
IHR2080500E,RIOGEL 2 80X500 EXPORTACION
IHR2080500F,RIOGEL 2 80x500 FRANCIA
IHR2080500I,RIOGEL 2 80x500 ITALIA
IHR20805000,RIOGEL 2 80 X 500
IHR2085500E,RIOGEL 2 85x500 EXPORTACION
IHR2085500F,RIOGEL 2 85x500 FRANCIA
IHR20854000,RIOGEL 2 85X400 MM.
IHR20855000,RIOGEL 2 DE 85 X 500
IHR2090535E,RIOGEL 2 90X535 EXPORTACION
IHR2090535F,RIOGEL 2 90X535 FRANCIA
IHR2090535I,RIOGEL 2 90x535 ITALIA
IHR20905350,RIOGEL 2 DE 90 X 535
IHR20952200,RIOGEL 2 95 X 2200
IHR21105000,RIOGEL 2 DE 110 X 500
IHR2125535F,RIOGEL 2 125x535 FRANCIA
IHR21255350,RIOGEL 2 DE 125 X 535
IHR21405000,RIOGEL 2 DE 140X500
IHR21405400,RIOGEL 2 DE 140 X 540
IHR21605000,RIOGEL 2 DE 160 X 500
IHR22003850,RIOGEL 2 DE 200 X 385
IHR4026200I,RIOMAX 26x200 ITALIA
IHR40262000,RIOMAX 26x200 MM
IHR40262500,RIOGEL E.P. 26x250 MM
IHR4032200F,RIOGEL EP 32x200 FRANCIA
IHR40322000,RIOMAX 32x200 MM
IHR40322500,RIOGEL E.P. 32x250 MM
IHR40324000,RIOMAX 32x400 MM
IHR4040240I,RIOGEL EP 40x240 ITALIA
IHR40402400,RIOMAX 40x240 MM
IHR4045400I,RIOGEL EP 45x400 ITALIA
IHR40454000,RIOGEL EP 45X400 MM
IHR4A262000,RIOMAX PLUS 26x200 MM
IHR4A322000,RIOMAX PLUS 32x200 MM
IHR50555000,RIOGEL 2-D 55X500 MM
IHR50655350,RIOGEL 2D 65 X 535
IHR50855000,RIOGEL 2-D 85X500 MM
IHRL0605000,RIOGEL TRONER POR 60
IHRL0705000,RIOGEL TRONER POR 70
IHRM0505000,RIOGEL POR CC 50X500 MM (1087 GRS)
IHRM0605000,RIOGEL TRONER POR CC 60
IHRN0705000,RIOGEL TRONER POR PLUS 70
IHRP0405000,RIOGEL TRONER PLUS 40x500 MM
IHRP0406000,RIOGEL TRONER PLUS 40x600 MM
IHRP0502200,RIOGEL TRONER PLUS 50X220 MM
IHRP0504800,RIOGEL TRONER PLUS 50x480 MM
IHRP060480E,RIOGEL TRONER PLUS 60x480 MM (E)
IHRP0604800,RIOGEL TRONER PLUS 60x480 MM
IHRP070500E,RIOGEL TRONER PLUS 70x500 MM (E)
IHRP0705000,RIOGEL TRONER PLUS 70x500 MM
IHRP080480E,RIOGEL TRONER PLUS 80x480 MM (E)
IHRP0804800,RIOGEL TRONER PLUS 80x480 MM
IHRP0854800,RIOGEL TRONER PLUS 85X480 MM
IHRP090480E,RIOGEL TRONER PLUS 90x480 MM (E)
IHRP0904800,RIOGEL TRONER PLUS 90x480 MM
IHRT026500E,RIOGEL TRONER 26x500 (EXP)
IHRT026500N,RIOGEL TRONER 26x500 (NORD)
