311040.000M	Det elec insen 4M Nº  0 Riodet retardo
311040.001M	Det elec insen 4M Nº 1 Riodet retardo
311040.002M	Det elec insen 4M Nº 2 Riodet retardo
311040.003M	Det elec insen 4M Nº 3 Riodet retardo
311040.004M	Det elec insen 4M Nº 4 Riodet retardo
311040.005M	Det elec insen 4M Nº 5 Riodet retardo
311040.006M	Det elec insen 4M Nº 6 Riodet retardo
311040.007M	Det elec insen 4M Nº 7 Riodet retardo
311040.008M	Det elec insen 4M Nº 8 Riodet retardo
311040.009M	Det elec insen 4M Nº 9 Riodet retardo
311040.010M	Det elec insen 4M Nº 10 Riodet retardo
311040.011M	Det elec insen 4M Nº 11  Riodet retardo
311040.012M	Det elec insen 4M Nº 12  Riodet retardo
311040.013M	Det elec insen 4M Nº 13  Riodet retardo
311040.014M	Det elec insen 4M Nº 14  Riodet retardo
311040.015M	Det elec insen 4M Nº 15  Riodet retardo
311040.016M	Det elec insen 4M Nº 16  Riodet retardo
311040.017M	Det elec insen 4M Nº 17  Riodet retardo
311040.018M	Det elec insen 4M Nº 18  Riodet retardo
311040.019M	Det elec insen 4M Nº 19  Riodet retardo
311040.020M	Det elec insen 4M Nº 20  Riodet retardo
311050.000M	Det elec insen 5M Nº  0 Riodet retardo
311050.00U	Det elec insen 5M Nº 0 Riodet
311050.01U	Det elec insen 5M Nº 1 Riodet
311050.02U	Det elec insen 5M Nº 2 Riodet
311050.03U	Det elec insen 5M Nº 3 Riodet
311050.04U	Det elec insen 5M Nº 4  Riodet
311050.05U	Det elec insen 5M Nº 5 Riodet
311050.06U	Det elec insen 5M Nº 6 Riodet
311050.07U	Det elec insen 5M Nº 7 Riodet
311050.08U	Det elec insen 5M Nº 8 Riodet
311050.09U	Det elec insen 5M Nº 9 Riodet
311050.10U	Det elec insen 5M Nº 10 Riodet
311050.11U	Det elec insen 5M Nº 11 Riodet
311050.12U	Det elec insen 5M Nº 12 Riodet
311050.13U	Det elec insen 5M Nº 13 Riodet
311050.14U	Det elec insen 5M Nº 14 Riodet
311050.15U	Det elec insen 5M Nº 15 Riodet
311050.16U	Det elec insen 5M Nº 16 Riodet
311050.17U	Det elec insen 5M Nº 17 Riodet
311050.18U	Det elec insen 5M Nº 18 Riodet
311050.19U	Det elec insen 5M Nº 19 Riodet
311050.20U	Det elec insen 5M Nº 20 Riodet
311050.22U	Det elec insen 5M Nº 22 Riodet
311050.24U	Det elec insen 5M Nº 24 Riodet
311050.26U	Det elec insen 5M Nº 26 Riodet
311050.28U	Det elec insen 5M Nº 28 Riodet
31105000F	Det elec insen 5M Nº 0 Daveydet
31105001F	DCA 51/38 08G 5M AP IS1B CR01
31105002F	DCA 51/38 08G 5M AP IS1B CR02
31105003F	DCA 51/38 08G 5M AP IS1B CR03
31105004F	DCA 51/38 08G 5M AP IS1B CR04
31105005F	DCA 51/38 08G 5M AP IS1B CR05
31105006F	DCA 51/38 08G 5M AP IS1B CR06
31105007F	DCA 51/38 08G 5M AP IS1B CR07
31105008F	DCA 51/38 08G 5M AP IS1B CR08
31105009F	DCA 51/38 08G 5M AP IS1B CR09
31105010F	DCA 51/38 08G 5M AP IS1B CR10
31105011F	DCA 51/38 08G 5M AP IS1B CR11
31105012F	DCA 51/38 08G 5M AP IS1B CR12
31105013F	DCA 51/38 08G 5M AP IS1B CR13
31105014F	DCA 51/38 08G 5M AP IS1B CR14
31105015F	DCA 51/38 08G 5M AP IS1B CR15
31105016F	DCA 51/38 08G 5M AP IS1B CR16
31105017F	DCA 51/38 08G 5M AP IS1B CR17
31105018F	DCA 51/38 08G 5M AP IS1B CR18
31105019F	DCA 51/38 08G 5M AP IS1B CR19
31105020F	DCA 51/38 08G 5M AP IS1B CR20
31106000F	DCAI MI 6M APESXCT1.1B INST
31106001F	DCAI MI 6M APESXCT1.1B CR01
31106002F	DCAI MI 6M APESXCT1.1B CR02
31106003F	DCAI MI 6M APESXCT1.1B CR03
31106004F	DCAI MI 6M APESXCT1.1B CR04
31106005F	DCAI MI 6M APESXCT1.1B CR05
31106006F	DCAI MI 6M APESXCT1.1B CR06
31106007F	DCAI MI 6M APESXCT1.1B CR07
31106008F	DCAI MI 6M APESXCT1.1B CR08
31106009F	DCAI MI 6M APESXCT1.1B CR09
31106010F	DCAI MI 6M APESXCT1.1B CR10
31106011F	DCAI MI 6M APESXCT1.1B CR11
31106012F	DCAI MI 6M APESXCT1.1B CR12
31106013F	DCAI MI 6M APESXCT1.1B CR13
31106014F	DCAI MI 6M APESXCT1.1B CR14
31106015F	DCAI MI 6M APESXCT1.1B CR15
31106016F	DCAI MI 6M APESXCT1.1B CR16
31106017F	DCAI MI 6M APESXCT1.1B CR17
31106018F	DCAI MI 6M APESXCT1.1B CR18
31106019F	DCAI MI 6M APESXCT1.1B CR19
31106020F	DCAI MI 6M APESXCT1.1B CR20
31203000F	Det elec alta insen 3M Nº 0 Daveydet
31203001F	Det elec alta insen 3M Nº 1 Daveydet
31203002F	Det elec alta insen 3M Nº 2 Daveydet
31203003F	Det elec alta insen 3M Nº 3 Daveydet
31203004F	Det elec alta insen 3M Nº 4 Daveydet
31203005F	Det elec alta insen 3m Nº 5 Daveydet
31203006F	Det elec alta insen 3M Nº 6 Daveydet
31203007F	Det elec alta insen 3M Nº 7 Daveydet
31203008F	Det elec alta insen 3M Nº 8 Daveydet
31203009F	Det elec alta insen 3M Nº 9 Daveydet
31203010F	Det elec alta insen 3M Nº 10 Daveydet
31203011F	Det elec alta insen 3M Nº 11 Daveydet
31203012F	Det elec alta insen 3M Nº 12 Daveydet
31203013F	Det elec alta insen 3M Nº 13 Daveydet
31203014F	Det elec alta insen 3M Nº 14 Daveydet
31203015F	Det elec alta insen 3M Nº 15 Daveydet
31203016F	Det elec alta insen 3M Nº 16 Daveydet
31203017F	Det elec alta insen 3M Nº 17 Daveydet
31203018F	Det elec alta insen 3M Nº 18 Daveydet
31203019F	Det elec alta insen 3M Nº 19 Daveydet
31203020F	Det elec alta insen 3M Nº 20 Daveydet
31205000F	Det elec alta insen 5M Nº 0 Daveydet
31205001F	Det elec alta insen 5M Nº 1 Daveydet
31205002F	Det elec alta insen 5M Nº 2 Daveydet
31205003F	Det elec alta insen 5M Nº 3 Daveydet
31205004F	Det elec alta insen 5M Nº 4 Daveydet
31205005F	Det elec alta insen 5M Nº 5 Daveydet
31205006F	Det elec alta insen 5M Nº 6 Daveydet
31205007F	Det elec alta insen 5M Nº 7 Daveydet
31205008F	Det elec alta insen 5M Nº 8 Daveydet
31205009F	Det elec alta insen 5M Nº 9 Daveydet
31205010F	Det elec alta insen 5M Nº 10 Daveydet
31205011F	Det elec alta insen 5M Nº 11 Daveydet
31205012F	Det elec alta insen 5M Nº 12 Daveydet
31205013F	Det elec alta insen 5M Nº 13 Daveydet
31205014F	Det elec alta insen 5M Nº 14 Daveydet
31205015F	Det elec alta insen 5M Nº 15 Daveydet
31205016F	Det elec alta insen 5M Nº 16 Daveydet
31205017F	Det elec alta insen 5M Nº 17 Daveydet
31205018F	Det elec alta insen 5M Nº 18 Daveydet
31205019F	Det elec alta insen 5M Nº 19 Daveydet
31205020F	Det elec alta insen 5M Nº 20 Daveydet
31206.001F	DCAHI 08G 6M AP (30)MCT1B R01
31206.002F	DCAHI 08G 6M AP (30)MCT1B R02
31206.003F	DCAHI 08G 6M AP (30)MCT1B R03
31206.004F	DCAHI 08G 6M AP (30)MCT1B R04
31206.005F	DCAHI 08G 6M AP (30)MCT1B R05
31206.006F	DCAHI 08G 6M AP (30)MCT1B R06
31206.007F	DCAHI 08G 6M AP (30)MCT1B R07
31206.008F	DCAHI 08G 6M AP (30)MCT1B R08
31206.009F	DCAHI 08G 6M AP (30)MCT1B R09
31206.010F	DCAHI 08G 6M AP (30)MCT1B R10
31206.011F	DCAHI 08G 6M AP (30)MCT1B R11
31206.012F	DCAHI 08G 6M AP (30)MCT1B R12
31206000F	DCAHI 08G 6M AP (30)MCT1B INST
31206001F	DCAHI 08G 6M AP (30)MCT1B CR01
31206002F	DCAHI 08G 6M AP (30)MCT1B CR02
31206003F	DCAHI 08G 6M AP (30)MCT1B CR03
31206004F	DCAHI 08G 6M AP (30)MCT1B CR04
31206005F	DCAHI 08G 6M AP (30)MCT1B CR05
31206006F	DCAHI 08G 6M AP (30)MCT1B CR06
31206007F	DCAHI 08G 6M AP (30)MCT1B CR07
31206008F	DCAHI 08G 6M AP (30)MCT1B CR08
31206009F	DCAHI 08G 6M AP (30)MCT1B CR09
31206010F	DCAHI 08G 6M AP (30)MCT1B CR10
31206011F	DCAHI 08G 6M AP (30)MCT1B CR11
31206012F	DCAHI 08G 6M AP (30)MCT1B CR12
31206013F	DCAHI 08G 6M AP (30)MCT1B CR13
31206014F	DCAHI 08G 6M AP (30)MCT1B CR14
31206015F	DCAHI 08G 6M AP (30)MCT1B CR15
31206016F	DCAHI 08G 6M AP (30)MCT1B CR16
31206017F	DCAHI 08G 6M AP (30)MCT1B CR17
